date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:41	38091/38091	---M--	200	added ('OK')	image/jpeg	etag:%2294cb-5cd080f89e02d%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/testimonial/banner-01.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/testimonial/banner-01.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:41	115399/115399	---M--	200	added ('OK')	image/png	etag:%221c2c7-5cd080f89c0ed%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/05.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/services/05.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:41	57796/57796	---M--	200	added ('OK')	image/jpeg	etag:%22e1c4-5cd080f88e62c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/product-offer/01.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/product-offer/01.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:42	39663/39663	---M--	200	added ('OK')	image/jpeg	etag:%229aef-5cd080f88b74c%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/category-product/banner.jpg	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/category-product/banner.jpg	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:42	6445/6445	---M--	200	added ('OK')	image/png	etag:%22192d-5cd080f8849ec%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-shap-3.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-shap-3.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:43	63168/63168	---M--	200	added ('OK')	image/png	etag:%22f6c0-5cd080f8849ec%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-shap-4.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-shap-4.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:43	7687/7687	---M--	200	added ('OK')	image/png	etag:%221e07-5cd07b4b92dd7%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap3.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap3.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:44	15228/15228	---M--	200	added ('OK')	image/png	etag:%223b7c-5cd080f882aac%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap5.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap5.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:44	4398/4398	---M--	200	added ('OK')	image/png	etag:%22112e-5cd07b4b92dd7%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap2.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap2.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
18:41:45	6305/6305	---M--	200	added ('OK')	image/png	etag:%2218a1-5cd07b4b92dd7%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap1.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/banner/banner-2-shap1.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0)
